Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
I'd like to run JSLint4Java as part of my build process . I have about 1000 JS files in a library , and don't really want to add a header to each of them -- especially since many of them are from an external library ( Dojo ) . If I don't add the header , though , JSLint complains about the same five globals on nearly every single file . Is there a way to tell JSLint to ignore them ? Some things I've thought of so far : Some sort of AntFileMap task that creates a virtual directory hierarchy that's an exact copy of another hierarchy , but has a filter applied to each file ( in this case , prepend with a / *globals * / header ) . Hack JSLint4Java to accept a set of globals which it prepends as a comment to the beginning of every file it processes . I've never seen anything like ( 1 ) . ( 2 ) seems relatively easy , but I'd prefer to use original tools if possible . Any better suggestions ?	L V P V ^ P N P D V N , O V P $ ^ N P D N , & V R V P V D N P D P O , R P A P O V P D A N , ^ , , P O V V D N , P , ^ V P D A N N P R A A N , V R D N P V ^ P V O , D N L V P R R , D N P ^ V O V D A N N L D A N P D N , & V D N V P D N , P D N , N P D D N , D N , , V ^ P V D N P V D O V P D N P D N P O V O V , L R V N V D $ D , D $ D V R A , & L V P V A N P A , D A N ,
Hi James , I'm curious if you ever worked out a solution to this .	V ^ , L A P O R V T D N P D ,
From http://www.ohloh.net/p/jslint4java News 2009-12-02 . jslint4java 1.3 . 3 is released . Noteworthy alterations : Add support for the predef option , to allow specifying a list of predefined global variables . Sounds like what you might be looking for . Try the -- help option to get the syntax , maybe ?	P U ^ $ , ^ $ , $ V V , ^ N , V V P D N N , P V V D N P D A N , V P O O V V V P , V D , N N P V D N , R ,
You can also use LintRoller - a Node.js utility for checking entire directories or projects against JSLint , JSHint and other validations .	O V R V ^ , D ^ N P V A N & N P ^ , ^ & A N ,
I've been playing with DWR and converters for a while and I really wanted to map my Java classes to JavaScript classes . Using DWR converters , I have the option to point out what is the name of my JS constructor given a Java class . So far so good ... The problem arises when my JS constructor is within a JS package-like name ( just like YUI's package system , eg my.beautiful.package.MyClass ) . DWR's current implementation doesn't allow me to use this kind of construct , giving me a SyntaxError when I try to use it . Is there an elegant way arround this limitation ?	L V V P ^ & N P D N & O R V P N D ^ N P ^ N , V ^ N , O V D N P N P O V D N P D ^ N V D ^ N , P R R A , D N V R D ^ N V P D ^ A N , R P Z N N , E ^ E , Z A N V V O P V D N P V , V O D ^ R O V P V O , V R D A N P D N ,
I don't have a workaround , but for your information there is an opened issue about this : http://bugs.directwebremoting.org/bugs/browse/DWR-103 If I am wrong and it is not the same problem as what you described , let me know and I will delete this comment .	O V V D N , & P D N R V D V N P D , U P O V A & O V R D A N P O O V , V O V & O V V D N ,
Thats right , I wonder if they will fix it only for version 3 . Here we use version 2 yet .	L R , O V P O V V O R P N $ , R O V N $ R ,
As far as I know the this isn't possible directly . I have in my current work project experimented with enhancing each returned object on the client side with methods from a Javascript class , which gets the result that I think you are interested in . I'll have to check at work on monday ( now is sunday ) that augmentProto is correct one to use , but I think it is . There may even be a better hook into DWR that'll allow you to do this on the fly automagically .	R R P O V D O V R R , O V P D A N N V P V O V N P D N N P N P D ^ N , O V D N P O V O V V T , L V P V P V P ^ , R V N , D ^ V A $ P V , & O V O V , X V R V D A N P ^ L V O P V D P D V N ,
One thing that I did , I " globalized " all needed constructors used by DWR , ( using the notation as follows * my_beautiful_package_MyClass * ) although it works , its not that elegant =/	$ N P O V , O , V , X V N V P ^ , , V D N P V , ^ , E P O V , L R R A E
I'd like to use the Rhino JavaScript compiler to compile some JavaScript to . class bytecode files for use in a project . It seems like this should already exist , since there are groovyc , netrexxc , and jythonc tasks for Groovy , NetREXX ( ! ) and Jython , respectively . Has anyone used or written such an Ant task , or can anyone provide some tips on how to write one ? Ideally it would have some way to resolve dependencies among JavaScript or Java classes .	L V P V D ^ ^ ^ P V D ^ P , N ^ N P V P D N , O V P D V R V , P X V ^ , ^ , & Z N P ^ , ^ , , , & ^ , R , V O V & V X D N N , & V O V D N P R P V $ , R O V V D N P V N P ^ & ^ N ,
Why not simply use java task ? Any objections ?	R R R V ^ N , D N ,
Hmm , the main concern is handling dependencies among Java and JavaScript classes . Still , this might be enough to work for now -- thanks .	! , D A N V V N P ^ & ^ N , R , O V V A P N P R , ! ,
Here is a sample build.xml I use for my rhino applications . If you have lots of javascript files you just need to keep adding more tags ~ : ant compile jar run ~	R V D N ^ O V P D ^ N , P O V N P ^ V O R V P V V A N G , ^ N ^ N G
I'm using RequireJS in my project , which includes a script that traces out dependencies between modules , and combines them into a single JavaScript file . Optionally , it can also minify the combined js file with the Google Closure compiler . Once it's in this form , where all dependencies are included in a single js file , the file can be easily compiled using jsc . Here's a segment of my ant script which I use to create the single combined js file , compile it to a class file , and then create an executable JAR : The complete build script can be found here .	L V ^ P D N , O V D N P V T N P N , & V O P D A ^ N , R , O V R A D A ^ V P D ^ ^ N , R L P D N , R R N V V P D A ^ N , D N V V R V V ^ , L D N P D ^ N P O V P V D A A ^ N , V O P D N N , & R V D A ^ , D A V N V V V R ,
* Punches in the arm* . According to wikipedia , I am required to do so after you jinxed me and before I can speak again . http://en.wikipedia.org/wiki/Jinx	, V P D G , V P ^ , O V A P V R P O G O & P O V V R , U
You misread that - I get to punch you now . And get me my Coke .	O V O , O V P V O R , & V O D ^ ,
Everything . JavaScript was named this way by Netscape to confuse the unwary into thinking it had something to do with Java , the buzzword of the day , and it succeeded . The two languages are entirely distinct .	N , ^ V V D N P ^ P V D A P V O V N P V P ^ , D N P D N , & O V , D $ N V R A ,
Javascript was originally called Livescript , and the world would probably be a better place today if they hadn't renamed it !	^ V R V ^ , & D N V R V D A N N P O V V O ,
I doubt it was to cause confusion - what's the benefit to the company of that ? I suspect the _intent_ was to ride on the success of Java , although the _effect_ was what you stated .	O V O V P N N , L D N P D N P O , O V D C V P V P D N P ^ , P D C V O O V ,
" ride the success of java " by calling something unrelated with a similar name ? That sounds very much like " causing confusion for marketing purposes " to me .	, V D N P ^ , P V N A P D A N , O V R A R , V N P N N , P O ,
Sun tried this naming trick again with the " Sun Java Desktop " , which was essentially a branded version of Gnome and had nothing to do with Java .	^ V D V ^ R P D , ^ ^ N , , O V R D A N P ^ & V N P V P ^ ,
@Pax - Put another way , it confused the unwary into thinking it had something to do with Java , the buzzword of the day .	@ , V D N , O V D A P V O V N P V P ^ , D N P D N ,
Yeah , and it worked . @Greg Hewgill , the world might be a better place , but Javascript probably wouldn't be where it is today .	! , & O V , @ ^ , D N V V D A N , & ^ R V V R O V N ,
@Just Some Guy - Well said . I improved my answer by adding some of your wit .	@ ^ ^ , ! V , O V D N P V D P D N ,
The reason they changed the name was to in some way pacify Sun who at that point were involved with Netscape	D N O V D N V P P D N V ^ ^ P D N V A P ^
Java and Javascript are similar like Car and Carpet are similar .	^ & ^ V A P N & N V A ,
Awesome answer . I need to remember it !	A N , O V P V O ,
from ddaa import wit # I wish I had come up with that one !	P N N N G O V O V V T P D $ ,
That is the best answer ever . If it is original ( i.e. you hadn't heard it from somewhere else ) you are a genius . I am going to start quoting this ...	O V D A N R , P O V A , V O V V O P R R , O V D N , O V V P V V D ,
Unfortunately , I can't claim originality . I don't recall where I first heard it , however .	R , O V V N , O V V R O R V O , R ,
Damn , this answer earned you 690 rep atleast . It is a great answer still .	! , D N V O $ N R , O V D A N R ,
Great answer . Simple and lets you get the idea .	A N , A & V O V D N ,
He didn't . 200 max per day .	O V , $ N P N ,
i don't think it's a flaw . he deserved his points . this is a short answer , and all he needs to know .	O V V L D N , O V D N , O V D A N , & R O V P V ,
lol , very nice comparison .	! , R A N ,
I would vote this up twice if I could . Great analogy !	O V V D T R P O V , A N ,
+1 ( just to help Tim ! )	$ , R P ^ ^ , E
I would have said car and bus .	O V V V N & N ,
@Ian Quigley : Ah , that must have been where I saw it ! Thanks .	@ ^ , ! , O V V V R O V O , N ,
Greg Hewgil , you're my new hero man !	^ ^ , L D A N N ,
I prefer the version about ham and hamster .	O V D N P N & N ,
This is a bad answer . Javascript and Java are both languages for writing code , but they are used in different contexts . Car and Carpet are nothing at all like each other . Javascript and Java are easy to confuse for a beginner	D V D A N , ^ & ^ V D N P V N , & O V V P A N , N & N V N P X V D A , ^ & ^ V A P V P D N
2 years late , but thank you so much for this thoughtful explanation . It's way more useful and informative than the selected answer , and deserves far more votes IMO	$ N R , & V O R A P D A N , L N R A & A P D A N , & V R A N ^
I upvote both in such cases . We need the right answer , but holy shmoly , geeks like us we really need more of this humor	O V $ P A N , O V D A N , & R R , N P O V R V R P D N
You might also here strongly-typed and loosely-typed instead of statically-typed and dynamically-typed .	O V R R A & V R P A & A ,
One is essentially a toy , designed for writing small pieces of code , and traditionally used and abused by inexperienced programmers . The other is a scripting language for web browsers .	O V R D N , V P V A N P N , & R A & V P A N , D N V D A N P N N ,
